"PERMNO","FF.YEAR","Dur"
10005,1989,108.683938299159
10005,1990,31.3411340316724
10005,1991,42.2709185814373
10006,1973,17.0869938955903
10006,1974,23.9045299584021
10006,1975,8.96720380462952
10006,1976,11.4330285335041
10006,1977,19.1204501824832
10006,1978,17.4590821130477
10006,1979,14.2080906603365
10006,1980,14.1555920755796
10006,1981,20.83450203554
10006,1982,17.8416125164566
10006,1983,12.2237114167609
10006,1984,29.4099031609587
10010,1989,29.9630474227617
10010,1990,32.0416506750337
10010,1991,53.4528604177239
10010,1992,54.7489522763711
10010,1993,103.851467111926
10010,1994,138.596737896106
10010,1995,69.4538509377587
10011,1992,40.5920089281493
10011,1993,47.7185856236312
10011,1994,54.2835488815432
10011,1995,54.5548268022832
10011,1996,51.4578908278975
10011,1997,46.9477009048282
10012,1990,42.2963761392105
10012,1991,86.3454787452106
10012,1992,70.7176774675162
10012,1993,151.46228942662
10012,1994,108.65926394573
10012,1995,75.4413659237037
10012,1996,144.319420279744
10012,1997,58.3474216138164
10012,1998,109.222252647244
10012,1999,65.2840970141265
10012,2002,48.9812610927584
10012,2003,24.8413566913679
10012,2004,29.8889929764802
10012,2005,129.571689527472
10014,1973,8.31288808833792
10014,1974,2.8647417095267
10014,1975,2.66117664965618
10014,1976,3.70731340218996
10015,1986,47.3232775216432
10016,1989,42.4834716698008
10016,1990,33.6421754705142
10016,1998,94.1664608482632
10016,1999,102.348918732737
10016,2000,69.1178582143123
10018,1989,500.000043270855
10018,1990,67.1831610539696
10018,1991,87.8421607525901
10018,1992,57.7194467444318
10018,1993,58.0930173687295
10018,1994,72.143004909331
10018,1995,69.876891056674
10019,1989,39.4879692447402
10019,1990,41.8980260536602
10019,1991,17.9965609354019
10019,1992,17.0535324829878
10019,1993,33.8319914768313
10019,1994,33.1241498153837
10019,1995,35.289423130423
10019,1996,32.5190109525743
10019,1997,36.3045873850539
10019,1998,38.1623806221403
10019,1999,95.1799352751008
10019,2002,6.52708463797584
10021,1989,66.1425765588763
10021,1990,69.2563233664406
10021,1991,84.9977935153115
10021,1992,40.9964106903828
10021,1993,19.7283378574813
10021,1994,57.4471858323668
10021,1995,67.8040263705991
10025,1989,30.1221037094232
10025,1990,40.2173747144463
10025,1991,26.3603479773819
10025,1992,38.2007608590551
10025,1993,33.3179094995947
10025,1994,32.5303932569439
10025,1995,37.9409447727539
10025,1996,50.3597924134911
10025,1997,229.394871369243
10025,1998,83.2207165767531
10025,1999,73.1311436452342
10025,2000,86.188231968153
10025,2001,110.120968486194
10025,2002,92.556918625263
10025,2003,77.6740534363013
10025,2004,119.13889532329
10025,2005,77.1365280962472
10025,2006,153.852462121451
10025,2007,50.3712623753643
10025,2008,45.0863376676271
10025,2009,120.938430374209
10025,2010,39.0981926040274
10025,2011,66.5097290374197
10025,2012,66.5868289188953
10025,2013,44.6621170826668
10025,2014,49.5069427153935
10025,2015,68.714738445593
10025,2016,36.3233350062275
10026,1989,48.094593894182
10026,1990,37.4062470708758
10026,1991,25.9562206329628
10026,1992,35.0260273701296
10026,1993,19.2273456024178
10026,1994,32.9696920054802
10026,1995,17.9923056433501
10026,1996,16.2980569422011
10026,1997,19.4972894787317
10026,1998,21.160508475181
10026,1999,30.7128294540091
10026,2000,21.4082732572374
10026,2001,15.9339035564266
10026,2002,18.2845984942342
10026,2003,24.0338686843471
10026,2004,24.4194743557415
10026,2005,29.6148960921585
10026,2006,33.3277077700072
10026,2007,40.1448296229578
10026,2008,29.300909551641
10026,2009,29.6607553839851
10026,2010,28.765626285079
10026,2011,31.5537498033451
10026,2012,33.3631449723643
10026,2013,35.5791832812648
10026,2014,42.0934435947061
10026,2015,45.0734269990482
10026,2016,43.5138497062656
10026,2017,46.8304303533005
10026,2018,48.2864216929556
10026,2019,44.9292676189151
10026,2020,51.449824183086
10026,2021,54.9443244741931
10026,2022,51.6575395069362
10026,2023,42.398499566826
10026,2024,38.0241756603039
10026,2025,34.5487545208439
10027,1989,29.3849167993926
10028,1989,221.71556290792
10028,1990,194.815312565469
10028,1991,37.7083813947433
10028,1992,74.1219702348283
10028,1993,66.9850133081725
10028,1994,70.6440349390623
10028,1995,64.2255212777013
10028,1996,53.0490318480984
10028,1997,40.5894061098317
10028,1998,50.4160945777013
10028,1999,65.8340834815179
10028,2000,73.6781419143784
10028,2001,66.2463360028488
10028,2002,53.2090970868535
10028,2003,23.3999867707355
10028,2004,37.3954653913397
10028,2005,31.4897897731095
10028,2006,25.8164644828716
10028,2007,27.3848483044045
10028,2008,55.1225939631212
10028,2009,55.1973994123881
10028,2010,34.5327427767151
10028,2013,32.4805110665318
10028,2014,30.3934710210199
10028,2015,33.1178743186884
10028,2016,58.1941242939828
10028,2017,80.7116685267644
10028,2018,21.6697988645603
10028,2019,13.8547542886954
10028,2020,21.3412593783223
10028,2021,28.828074538366
10028,2022,24.4525633982233
10028,2023,22.0596759782972
10028,2024,25.3549034875532
10028,2025,28.8748250831307
10029,1989,31.0114673674532
10029,1990,24.7816992170927
10031,1988,22.2016193523508
10031,1989,21.479392086003
10032,1989,68.2799709535551
10032,1990,55.2479627907246
10032,1991,59.442286177642
10032,1992,89.2877696323466
10032,1993,80.0352555749391
10032,1994,127.204431077728
10032,1995,103.13023851268
10032,1996,88.9651606195139
10032,1997,76.0650663072966
10032,1998,61.7417194466598
10032,1999,85.8005819332315
10032,2000,87.9787136322341
10032,2001,91.5082706648089
10032,2002,63.2322194863083
10032,2003,24.1229572036192
10032,2004,73.0300240558983
10032,2005,55.6878805057195
10032,2006,84.741338191282
10032,2007,59.623143349781
10032,2008,60.0259304179514
10032,2009,36.3579905698988
10032,2010,62.0028637085567
10032,2011,58.584232575003
10032,2012,50.58413388229
10032,2013,52.915849382714
10032,2014,60.7431073827846
10032,2015,59.6049754313457
10032,2016,49.4730277216056
10032,2017,59.8222734927073
10032,2018,60.6948076039857
10032,2019,53.8144737013047
10032,2020,60.5671893992328
10032,2021,61.3320737992375
10032,2022,58.7210038828671
10032,2023,68.2485626439857
10032,2024,58.7829892156931
10032,2025,64.0510319825699
10035,1989,26.5478768814824
10035,1990,29.2819300284914
10035,1991,28.5019703492431
10035,1992,29.0534427510007
10035,1993,22.3230339698321
10035,1994,22.3281642014026
10035,1995,17.0558703919645
10035,1996,11.177431315198
10035,1997,9.60301946808398
10035,1998,13.2946742681669
10035,1999,11.7473273936656
10035,2000,38.3607531153145
10035,2001,14.6325610545748
10036,1989,14.4336057538502
10036,1990,18.8111245352022
10038,1989,263.29047267525
10039,1989,29.1857232894383
10039,1990,18.712513840983
10039,1991,18.4006058276543
10039,1992,23.4710131515476
10039,1993,33.8890929566379
10039,1994,55.7181257075555
10039,1995,55.3854078262073
10039,1996,327.325956416436
10039,1997,45.5790525287949
10039,1998,65.0069916798784
10039,1999,128.123516596535
10039,2000,173.750171580009
10042,1991,442.136281934165
10042,1992,58.5724984828041
10042,1993,142.191497077526
10042,1996,110.408074405992
10042,1997,113.868353520162
10042,1998,118.783903431932
10042,1999,19.3972450418277
10042,2000,11.8766412270786
10042,2001,30.4830029496019
10042,2002,30.7821127364976
10042,2003,49.5305433142074
10042,2004,169.496558589506
10042,2005,203.948805887327
10042,2007,128.520267321007
10043,1989,42.3462727247495
10043,1990,25.9563707166313
10043,1991,19.8274216890171
10043,1992,13.506300569357
10043,1993,26.8685116280796
10043,1994,53.9955388511147
10043,1995,38.7214094093848
10043,1996,37.644880033866
10043,1997,23.2945889580251
10043,1998,57.8415455000683
10043,1999,55.3144827577762
10044,1993,165.676799755619
10044,1994,86.9997672206335
10044,1995,64.2549099786985
10044,1996,74.6107526539719
10044,1997,60.0530414577421
10044,1998,92.917906951179
10044,1999,42.3680601203294
10044,2000,42.9843136362666
10044,2001,19.2915032989696
10044,2002,40.2316165993651
10044,2003,33.7554031400755
10044,2004,44.5555397453284
10044,2005,57.7437399948746
10044,2006,63.9164841759853
10044,2007,57.3859832262705
10044,2008,51.8194690463617
10044,2009,20.175369318822
10044,2010,33.4057754097541
10044,2011,41.0501993728817
10044,2012,35.7789536709959
10044,2013,39.5038038218743
10044,2014,48.1319318884918
10044,2015,45.6502777716963
10044,2016,35.7917090173871
10044,2017,34.1665379486938
10044,2018,39.7968129584619
10044,2019,34.3108525021006
10044,2020,39.6325965577304
10044,2021,25.5759730410345
10044,2022,56.7223276565291
10044,2023,36.1269196730327
10044,2024,45.3722937598963
10044,2025,57.1706082104696
10046,1989,5.43870475115472
10046,1990,6.58123497808779
10046,1991,1.65116840247341
10046,1992,2.06773894302185
10046,1993,4.53998546678003
10046,1994,6.28528439165713
10047,1994,45.4434926000592
10048,1989,181.76191036901
10048,1990,500.004254616812
10051,1989,69.9530822304862
10051,1993,67.9997330881536
10051,1994,45.6677518067565
10051,1995,39.3044680955912
10051,1996,29.3168936814174
10051,1997,81.6195728698976
10051,1998,56.7576729430855
10051,1999,52.5511346933073
10051,2001,7.47639293144516
10051,2002,40.7822687865753
10051,2003,42.8495373406877
10051,2004,44.3816214526946
10051,2005,44.6496232943867
10051,2006,28.0129402725299
10051,2007,35.4346938888648
10051,2008,40.4029401044098
10051,2009,42.8843423349204
10051,2010,71.7129887014
10051,2011,80.3532268397809
10051,2012,68.9464078964827
10051,2013,66.6545150205111
10051,2014,65.0819987866651
10051,2015,90.9987714908019
10051,2022,95.2917966332452
10055,1989,344.502491794089
10055,1990,110.370887860167
10055,1991,229.888386703036
10055,1995,39.9175235902471
10057,1973,15.1723790649588
10057,1974,9.10021493931724
10057,1976,5.87163108838841
10057,1977,6.33169507751068
10057,1978,12.598662108718
10057,1979,17.1854289507279
10057,1980,18.5648156217734
10057,1981,19.0558296889955
10057,1982,14.6278018458339
10057,1983,9.62000327129729
10057,1984,62.7209428921354
10057,1985,25.7489928867252
10057,1986,19.9509341944021
10057,1987,22.6067352349571
10057,1988,19.1045532822359
10057,1989,50.5823740005399
10057,1990,24.3294106306334
10057,1991,8.05251209911517
10057,1992,15.3948863769744
10057,1993,16.4505033979122
10057,1994,17.7994308480752
10057,1995,42.10660979826
10057,1996,41.4112777242614
10058,1978,32.7981985971282
10058,1979,8.02904016242109
10058,1980,12.0421796206307
10058,1981,8.78467075086396
10058,1982,17.2227043600849
10058,1983,4.56338853234935
10058,1984,262.751606456207
10062,1994,500.003275494903
10062,1995,159.284851838908
10062,1998,148.286906860592
10062,1999,500.000819825951
10063,1989,101.576897348538
10063,1990,125.695735912962
10064,1989,27.5509908888821
10064,1990,43.4344240063484
10064,1991,24.6311095078761
10064,1992,41.2775034317236
10064,1993,47.8408331063308
10064,1994,54.8914378317598
10064,1995,37.9929264417459
10064,1996,35.4990800969567
10066,1987,500.003272816331
10066,1989,65.6255873661271
10066,2001,500.000290315343
10066,2023,52.9902062398113
10066,2024,58.0113144079595
10066,2025,72.0304464924025
10070,1990,500.000881595727
10072,1989,500.002591335219
10074,1987,70.6739433806566
10074,1988,79.6982066627691
10074,1989,63.954355577923
10074,1990,83.7919420919008
10074,1991,70.8638051455426
10074,1992,96.5933174078992
10074,1993,87.8127776631268
10074,1994,102.713720647089
10074,1995,108.367832834401
10075,1991,40.1671030908406
10075,1992,40.8639811083418
10075,1993,40.920839332298
10075,1994,45.6715643654971
10075,1995,48.0081679381433
10075,1996,153.213447239646
10075,1997,73.708672812387
10075,1998,64.9336680979594
10075,1999,50.5763422576816
10077,1990,3.8849601572846
10077,1991,2.66987735644459
10077,1992,2.68087532759795
10077,1993,145.915974429116
10078,1992,31.8637555853858
10078,1994,24.5897909055678
10078,1995,28.7769177561375
10078,1996,42.1334953492578
10078,1997,39.2500336505205
10078,1998,41.0461359871478
10078,1999,53.909458864491
10078,2000,73.9812025370802
10078,2001,63.3276243617049
10078,2002,47.5619414036799
