month,intercept,slope,R2,N,BM_p01,BM_p99,BM_CZ_p01,BM_CZ_p99,date
1963-06,-0.0011220593105460974,0.9993804333887084,0.9985838407674488,461.0,0.15660040387883012,3.341773258167623,0.15660040387883015,3.341773258167623,1963-06-30
1963-07,0.0005948185953108531,0.9988640868081374,0.9986818123081918,464.0,0.15708784643247986,3.339960512625302,0.15708784643247986,3.339960512625302,1963-07-31
1963-08,0.0005848033129542962,0.9994341808451244,0.998877763613749,464.0,0.15708784643247986,3.339960512625302,0.15708784643247986,3.339960512625302,1963-08-31
1963-09,0.0018261576374276611,0.9995409963704966,0.9991683430640977,464.0,0.15708784643247986,3.339960512625302,0.15708784643247986,3.339960512625302,1963-09-30
1963-10,0.002873184242228377,0.9992501890601945,0.9992332502272095,464.0,0.15708784643247986,3.339960512625302,0.15708784643247986,3.339960512625302,1963-10-31
1963-11,0.0029739345303750886,0.999121367945629,0.9992743856944619,466.0,0.157412808134913,3.338752015597087,0.157412808134913,3.3387520155970876,1963-11-30
1963-12,0.005840709104065422,0.9989140069797068,0.9971003408765371,465.0,0.15725032728369642,3.3393562641111947,0.15725032728369642,3.3393562641111947,1963-12-31
1964-01,0.0066172805912696475,0.9980090418104408,0.9963085050515027,464.0,0.15708784643247986,3.339960512625302,0.15708784643247986,3.339960512625302,1964-01-31
1964-02,0.0072017545062497135,0.9980036598556151,0.9952499542761551,461.0,0.15660040387883012,3.2967075486701645,0.15660040387883015,3.296707548670165,1964-02-29
1964-03,0.009413684461069716,0.9975900203892819,0.9946047774318612,461.0,0.15660040387883012,3.2967075486701645,0.15660040387883015,3.296707548670165,1964-03-31
1964-04,0.013205252587291216,0.9961601212471427,0.991065171806666,459.0,0.15627544217639697,3.297404074301271,0.15627544217639697,3.297404074301271,1964-04-30
1964-05,0.014246057655417088,0.9951580578426125,0.9908861185805214,459.0,0.15627544217639697,3.297404074301271,0.15627544217639697,3.297404074301271,1964-05-31
1964-06,-0.001278462368868527,1.0030058046109813,0.9955127421706826,472.0,0.15377382934378683,2.7494670313999183,0.15386115172859124,2.7494670313999183,1964-06-30
1964-07,0.0006392993164947569,1.002539711899081,0.9958451745903047,473.0,0.15381094626911754,2.748916345265337,0.15389525753720457,2.748916345265337,1964-07-31
1964-08,0.002359036606428,1.000621769928568,0.9963870760042197,473.0,0.15381094626911754,2.748916345265337,0.15389525753720457,2.748916345265337,1964-08-31
