month,intercept,slope,R2,N,date
1963-06,0.11328249577396363,1.0225937915243575,0.9036764052995435,932.0,1963-06-30
1963-07,-0.02897941553294822,0.8449496847907737,0.8979839281765477,931.0,1963-07-31
1963-08,-0.0213205728408232,0.8840258083947053,0.8932146815344889,1606.0,1963-08-31
1963-09,0.09025561889301284,0.9644404896679634,0.9204040352102799,1616.0,1963-09-30
1963-10,0.06389946876544048,0.9310074273394162,0.9249167944902985,1622.0,1963-10-31
1963-11,-0.08663298646816114,0.7921042366736526,0.8922948947983406,1625.0,1963-11-30
1963-12,0.03649864177016643,0.9895271952568315,0.9268222041767014,1616.0,1963-12-31
1964-01,-0.061470186733035156,0.786826782189435,0.9020061418193072,1608.0,1964-01-31
1964-02,0.024058138097841006,0.9425038723363837,0.939069522940591,1612.0,1964-02-29
1964-03,-0.00032458788882008816,0.907212829337429,0.9429520168367772,1597.0,1964-03-31
1964-04,-0.010365288260395705,0.8477693091960805,0.9078053993073768,1601.0,1964-04-30
1964-05,-0.018241350446984522,0.8451836537776731,0.8959196681894154,1605.0,1964-05-31
1964-06,0.014346840945747272,1.0095737555780229,0.9191785496565739,1609.0,1964-06-30
1964-07,0.025190398666959116,0.8729964300165649,0.9379235556335221,1607.0,1964-07-31
1964-08,-0.03129424545552997,0.8952863880059172,0.9215685799400878,1610.0,1964-08-31
1964-09,0.0218667273875396,0.9376617662987008,0.9124746563385717,1612.0,1964-09-30
1964-10,-0.003480868388673064,0.9344628213388232,0.9289748046636143,1619.0,1964-10-31
1964-11,0.028713606042207768,0.9495390505143302,0.9355779893327836,1626.0,1964-11-30
1964-12,0.012985312733466148,0.9827920065361299,0.9233897387845791,1634.0,1964-12-31
1965-01,-0.002011290424687756,0.7798428563656418,0.8777145238626176,1649.0,1965-01-31
1965-02,-0.008939861040636293,0.9058860634006799,0.925668388470109,1657.0,1965-02-28
1965-03,-0.00686833840226353,0.8926633053845919,0.8942754664900326,1665.0,1965-03-31
1965-04,0.035430878089504736,0.8489350088740996,0.8676463491768367,1665.0,1965-04-30
1965-05,0.014594116589183304,0.9158780212359975,0.9292824421024425,1675.0,1965-05-31
1965-06,0.014212411243569062,0.8858601301150019,0.9071819923569765,1682.0,1965-06-30
1965-07,-0.017094601259973724,0.8964539698029518,0.9207350765118729,1689.0,1965-07-31
1965-08,0.019573270381697122,0.9079027967927137,0.9103503433347634,1698.0,1965-08-31
1965-09,-0.01746285077202528,0.8702138333504063,0.8932952009363683,1693.0,1965-09-30
1965-10,-0.0010552388586289596,0.8736029427077794,0.9207890702369006,1698.0,1965-10-31
1965-11,0.010705412853882934,0.9676253378869099,0.9463878861685568,1698.0,1965-11-30
1965-12,0.020100678805398065,1.0132504704091723,0.9389319716420149,1697.0,1965-12-31
1966-01,-0.0399500419575432,0.8459542393784032,0.9433282498535137,1681.0,1966-01-31
1966-02,0.0006432513370182025,0.8705244535461177,0.9406646829233014,1679.0,1966-02-28
1966-03,0.04091374496065503,0.8265450381766559,0.9415416935482905,1691.0,1966-03-31
1966-04,-0.014759710831071804,0.8684483011426716,0.9247832127183033,1688.0,1966-04-30
1966-05,0.033298048494841914,0.91511052703585,0.9476314085420587,1681.0,1966-05-31
1966-06,0.0939776101899017,1.1435475740478265,0.9640205555239004,1680.0,1966-06-30
1966-07,0.0007139280879921439,0.8721555411764261,0.9614785867424548,1687.0,1966-07-31
1966-08,-0.007775210220216128,0.8335567748608174,0.9143964824121088,1691.0,1966-08-31
1966-09,-0.02046232208006596,0.8700114726566676,0.9304970128875509,1700.0,1966-09-30
1966-10,-0.056041416503676215,0.7645928952489413,0.8803373182877484,1701.0,1966-10-31
1966-11,-0.055098604780649395,0.8110007525646602,0.847776346124013,1703.0,1966-11-30
1966-12,-0.050800929340207544,0.814995691850578,0.8549704328812416,1704.0,1966-12-31
1967-01,-0.0723248282872014,0.8140104508103504,0.8799272901484759,1722.0,1967-01-31
1967-02,-0.029402987101700494,0.8554480192034484,0.8590524151867818,1728.0,1967-02-28
1967-03,0.019465951304084135,0.8815110419336717,0.8531190089730963,1727.0,1967-03-31
1967-04,-0.03425717164519647,0.7935812557143145,0.8734406487893487,1725.0,1967-04-30
1967-05,0.11087729976153902,1.032265682003402,0.9254184723930956,1725.0,1967-05-31
1967-06,0.01722868807898134,0.9323806575238788,0.9447373110284397,1732.0,1967-06-30
1967-07,0.03036329297738488,0.9805017420141839,0.9554087088125491,1724.0,1967-07-31
1967-08,0.11638343468765944,1.125801947751004,0.9460229330478946,1734.0,1967-08-31
1967-09,0.030232435759456888,1.0193987223895944,0.958367302853206,1733.0,1967-09-30
1967-10,0.025705594220883365,1.047772388817019,0.9508434033760759,1730.0,1967-10-31
1967-11,-0.0002901386071489931,0.9080079072622383,0.9365891016128348,1726.0,1967-11-30
1967-12,0.006964684697784662,0.9628612610617608,0.9351716645507501,1720.0,1967-12-31
1968-01,-0.047403410804381485,0.7062445961762447,0.956595983212586,1708.0,1968-01-31
1968-02,0.023014042315571026,0.82688300762471,0.9199077610838577,1702.0,1968-02-29
1968-03,0.006344782848044239,0.7807521942247357,0.9019603609087086,1703.0,1968-03-31
1968-04,-0.011396169096675901,0.8537433307938083,0.9150396858689686,1697.0,1968-04-30
1968-05,0.041594004015719055,0.9271255910925954,0.9311837357495649,1697.0,1968-05-31
1968-06,0.0021729455630012384,0.763582659874242,0.8975288714130109,1690.0,1968-06-30
1968-07,-0.01855256125675009,0.7878744248829836,0.8978258604706268,1687.0,1968-07-31
1968-08,0.01674393884326858,0.9344030757515719,0.929904323895664,1691.0,1968-08-31
1968-09,-0.013723976370592472,0.782093252559648,0.905291802530201,1694.0,1968-09-30
1968-10,0.060023333451182936,0.9139883758255344,0.9200319773414912,1697.0,1968-10-31
1968-11,0.006005363119568341,0.9978106938427134,0.9281817303547095,1701.0,1968-11-30
1968-12,-0.029946499022314388,0.8366818292878679,0.9208632577333468,1702.0,1968-12-31
1969-01,0.06469399131511544,0.7540639296971794,0.8820171126495562,1702.0,1969-01-31
1969-02,0.08708168637548624,1.008265925693959,0.9322547595786916,1707.0,1969-02-28
1969-03,0.03008375931952273,0.9532181901972665,0.9379259205251402,1707.0,1969-03-31
1969-04,-0.08951244120088178,0.7468222183265754,0.888060419097038,1709.0,1969-04-30
1969-05,-0.058767325617029645,0.7569745303987148,0.8694806793415514,1709.0,1969-05-31
1969-06,3.4048358396251976e-05,0.903351668732257,0.9116486466993047,1716.0,1969-06-30
1969-07,0.027617865442818842,0.8945355844608246,0.9210101333298656,1719.0,1969-07-31
1969-08,-0.04604149873735383,0.8746375298941131,0.9205248748621161,1722.0,1969-08-31
1969-09,-0.07415321883885165,0.8561366762758074,0.9226772986869591,1725.0,1969-09-30
1969-10,-0.020940505361580902,0.9104155776418974,0.9245680445531289,1733.0,1969-10-31
1969-11,-0.06867363611201616,0.8863001398994913,0.9232254834156043,1739.0,1969-11-30
1969-12,-0.016739226210893354,0.9302537112752356,0.910261284246386,1743.0,1969-12-31
1970-01,-0.0027633942844836057,0.9641581153618065,0.9539948264472486,1751.0,1970-01-31
1970-02,0.07509480197857507,1.0296992824936908,0.9653264338747164,1762.0,1970-02-28
1970-03,-0.03591935453312295,0.9101539141326008,0.9516025729090295,1778.0,1970-03-31
1970-04,-0.03226589218054157,0.8761258818362235,0.9391171403804215,1792.0,1970-04-30
1970-05,-0.028801834828851958,0.927679253878653,0.939243253604059,1796.0,1970-05-31
1970-06,0.0730352415428494,1.0021388026299443,0.9449323872900013,1802.0,1970-06-30
1970-07,0.057548241999119565,0.9845517244862779,0.9414863185206401,1805.0,1970-07-31
1970-08,-0.062380208671540316,0.9079924750503691,0.9510505218763541,1819.0,1970-08-31
1970-09,6.768550867747303e-05,0.9385190385721482,0.9211530191057294,1837.0,1970-09-30
1970-10,-0.09379239536624526,0.8571963043349953,0.8817395713522136,1851.0,1970-10-31
1970-11,0.030614602768884946,0.971154611835841,0.946044218122823,1853.0,1970-11-30
1970-12,0.044484928779674,0.9634691397268241,0.9170255320888442,1853.0,1970-12-31
1971-01,0.03399715740568249,0.9627639995751791,0.9047729809453577,1857.0,1971-01-31
1971-02,-0.03247352963424428,0.8922017007949734,0.9089255197158459,1868.0,1971-02-28
1971-03,0.02916251211512752,0.917980222766239,0.9196069957146503,1878.0,1971-03-31
1971-04,0.21744019598288633,1.0954655848083572,0.8703116257709628,1883.0,1971-04-30
1971-05,0.14650874579607404,1.0011371325722664,0.8866980426436529,1879.0,1971-05-31
1971-06,0.13281793867568686,0.9931638825141719,0.8603540036261648,1886.0,1971-06-30
1971-07,0.013669010437351747,0.8187931690652441,0.8812986107144597,1892.0,1971-07-31
1971-08,-0.022244663659407138,0.8496358889594511,0.8959223334408077,1900.0,1971-08-31
1971-09,-0.08771692287422772,0.8174217855993613,0.8836559432317735,1905.0,1971-09-30
1971-10,0.09098271686796433,0.939221384521255,0.898913079133997,1916.0,1971-10-31
1971-11,0.021312624499784993,0.9103372379770025,0.9198975336657175,1923.0,1971-11-30
1971-12,-0.06398235186049672,0.8264032608903552,0.9150020315588763,1931.0,1971-12-31
1972-01,-0.1047451202756089,0.8031604642758781,0.8876350624872245,1929.0,1972-01-31
1972-02,-0.037223248830612385,0.8842155145273113,0.9185689007289806,1937.0,1972-02-29
1972-03,-0.03605631421896721,0.8164321323662708,0.9018088910821982,1937.0,1972-03-31
1972-04,-0.02200830086942475,0.8678597179663126,0.897828440854118,1938.0,1972-04-30
1972-05,0.05850624450704915,0.9740440021447396,0.9340239995925214,1946.0,1972-05-31
1972-06,0.028198692190366123,0.9434191998515632,0.9331866074644545,1951.0,1972-06-30
1972-07,0.06974886656329936,1.011116245207462,0.9468987215877871,1953.0,1972-07-31
1972-08,-0.03109242213848408,0.8486596515539397,0.9344854911859838,1952.0,1972-08-31
1972-09,0.01320771062553358,0.9292534072353271,0.9138720021072793,1961.0,1972-09-30
1972-10,0.07547819718328869,0.9999424710014644,0.9299728877415494,1968.0,1972-10-31
1972-11,0.04344793417949999,0.9503945968565632,0.9317420250079967,1968.0,1972-11-30
1972-12,-0.0916437663557222,0.7786296514481498,0.8891757848194867,1982.0,1972-12-31
1973-01,-0.09008069349611376,0.8017521501438452,0.8640518142815123,1990.0,1973-01-31
1973-02,-0.05712167712385048,0.8379827008742912,0.9046507926535393,1993.0,1973-02-28
1973-03,-0.013102490457565424,0.9253843383565843,0.9231643032933748,1999.0,1973-03-31
1973-04,-0.024522873338813506,0.9072474315645613,0.9289427453266373,2001.0,1973-04-30
1973-05,-0.013995546211771959,0.9103241856931944,0.9302496849463351,1999.0,1973-05-31
1973-06,0.014254274579330928,0.9692872174019066,0.9485243294472951,2005.0,1973-06-30
1973-07,-0.00025774587509680424,0.9403716067786559,0.9508141146823842,2007.0,1973-07-31
1973-08,-0.03588627266241595,0.8831640367961152,0.9214308423862918,2013.0,1973-08-31
1973-09,0.02372054672528351,0.9912736298289205,0.9611812579385707,2018.0,1973-09-30
1973-10,0.0011253813593496143,0.9225450140448136,0.9432559796663256,2028.0,1973-10-31
