date,cp_t
1952-06-01,0.0021164402477645682
1952-07-01,0.0006492356633383753
1952-08-01,0.0007798872175636892
1952-09-01,-0.0013309854287298101
1952-10-01,0.0052303077880582315
1952-11-01,0.001937678738746033
1952-12-01,0.0009219916777360778
1953-01-01,0.0027805850971696668
1953-02-01,0.0021044517987336524
1953-03-01,0.007643420993499631
1953-04-01,0.0004354677821919624
1953-05-01,-0.002011475930337129
1953-06-01,-0.001268238844743426
1953-07-01,0.002610601636740366
1953-08-01,0.0043360832727849866
1953-09-01,0.004184090706277278
1953-10-01,0.00798678232699135
1953-11-01,0.004508851065758414
1953-12-01,0.004283840975366311
1954-01-01,0.0034793033907558266
1954-02-01,0.009823209743644378
1954-03-01,0.011872526203179818
1954-04-01,0.017698459892842543
1954-05-01,0.030659548440886503
1954-06-01,0.025559981786742347
1954-07-01,0.02372234271618684
1954-08-01,0.02084827855729423
1954-09-01,0.01583945175875895
1954-10-01,0.019243664975817983
1954-11-01,0.0221977278397252
1954-12-01,0.02255844161766247
1955-01-01,0.01921793564478542
1955-02-01,0.020934353207023408
1955-03-01,0.01526468852807059
1955-04-01,0.011962763675103578
1955-05-01,0.012594405947934288
1955-06-01,0.014432292944864108
1955-07-01,0.010445243951201107
1955-08-01,0.008851690918249385
1955-09-01,0.013029573908576148
1955-10-01,0.012716985322134923
1955-11-01,0.0041323894942006945
1955-12-01,0.0006947106768322581
1956-01-01,0.008458288864502193
1956-02-01,0.008176507540252237
1956-03-01,0.002602780878802405
1956-04-01,-0.0018997038458507878
1956-05-01,0.005692057638236115
1956-06-01,0.00864605963139063
1956-07-01,0.008567609595791155
1956-08-01,0.013427783463143442
1956-09-01,0.013664172171666426
1956-10-01,0.010956512795039886
1956-11-01,0.004304548505118272
1956-12-01,0.004514241808308256
1957-01-01,0.006187745811067909
1957-02-01,0.008518382964627542
1957-03-01,0.011661734097377488
1957-04-01,0.013236376353720186
1957-05-01,0.012955160184753647
1957-06-01,0.01602503311298793
1957-07-01,0.012621930349667292
1957-08-01,0.014747464370521091
1957-09-01,0.0056741704566775734
1957-10-01,0.019387663408342214
1957-11-01,0.010037578061635032
1957-12-01,0.01448353250956697
1958-01-01,0.02212938054337569
1958-02-01,0.02331855143785682
1958-03-01,0.019268925573301808
1958-04-01,0.019055792242250708
1958-05-01,0.01574624707954078
1958-06-01,0.03344687875204571
1958-07-01,0.03426969419998504
1958-08-01,0.023332563258626232
1958-09-01,0.019871057397152562
1958-10-01,0.018294362335577803
1958-11-01,0.02448331645256185
1958-12-01,0.02626479372747382
1959-01-01,0.027964472721015397
1959-02-01,0.020093643282515995
1959-03-01,0.012560591692491577
1959-04-01,0.015570379101447415
1959-05-01,0.015383195181320922
1959-06-01,0.015607923389832492
1959-07-01,0.014918128746772296
